Nu,Mu,Alpha
0.295,0.1,-60.0
0.345,0.35,-47.5
0.295,0.1,-47.5
0.345,0.35,-35.0
0.295,0.1,-35.0
0.345,0.35,-22.5
0.295,0.1,-22.5
0.345,0.35,-10.0
0.295,0.35,-60.0
0.345,0.6,-47.5
0.295,0.35,-47.5
0.345,0.6,-35.0
0.295,0.35,-35.0
0.345,0.6,-22.5
0.295,0.35,-22.5
0.345,0.6,-10.0
0.295,0.6,-60.0
0.345,0.85,-47.5
0.295,0.6,-47.5
0.345,0.85,-35.0
0.295,0.6,-35.0
0.345,0.85,-22.5
0.295,0.6,-22.5
0.345,0.85,-10.0
0.295,0.85,-60.0
0.345,1.1,-47.5
0.295,0.85,-47.5
0.345,1.1,-35.0
0.295,0.85,-35.0
0.345,1.1,-22.5
0.295,0.85,-22.5
0.345,1.1,-10.0
0.345,0.1,-60.0
0.395,0.35,-47.5
0.345,0.1,-47.5
0.395,0.35,-35.0
0.345,0.1,-35.0
0.395,0.35,-22.5
0.345,0.1,-22.5
0.395,0.35,-10.0
0.345,0.35,-60.0
0.395,0.6,-47.5
0.345,0.35,-47.5
0.395,0.6,-35.0
0.345,0.35,-35.0
0.395,0.6,-22.5
0.345,0.35,-22.5
0.395,0.6,-10.0
0.345,0.6,-60.0
0.395,0.85,-47.5
0.345,0.6,-47.5
0.395,0.85,-35.0
0.345,0.6,-35.0
0.395,0.85,-22.5
0.345,0.6,-22.5
0.395,0.85,-10.0
0.345,0.85,-60.0
0.395,1.1,-47.5
0.345,0.85,-47.5
0.395,1.1,-35.0
0.345,0.85,-35.0
0.395,1.1,-22.5
0.345,0.85,-22.5
0.395,1.1,-10.0
0.395,0.1,-60.0
0.445,0.35,-47.5
0.395,0.1,-47.5
0.445,0.35,-35.0
0.395,0.1,-35.0
0.445,0.35,-22.5
0.395,0.1,-22.5
0.445,0.35,-10.0
0.395,0.35,-60.0
0.445,0.6,-47.5
0.395,0.35,-47.5
0.445,0.6,-35.0
0.395,0.35,-35.0
0.445,0.6,-22.5
0.395,0.35,-22.5
0.445,0.6,-10.0
0.395,0.6,-60.0
0.445,0.85,-47.5
0.395,0.6,-47.5
0.445,0.85,-35.0
0.395,0.6,-35.0
0.445,0.85,-22.5
0.395,0.6,-22.5
0.445,0.85,-10.0
0.395,0.85,-60.0
0.445,1.1,-47.5
0.395,0.85,-47.5
0.445,1.1,-35.0
0.395,0.85,-35.0
0.445,1.1,-22.5
0.395,0.85,-22.5
0.445,1.1,-10.0
0.445,0.1,-60.0
0.495,0.35,-47.5
0.445,0.1,-47.5
0.495,0.35,-35.0
0.445,0.1,-35.0
0.495,0.35,-22.5
0.445,0.1,-22.5
0.495,0.35,-10.0
0.445,0.35,-60.0
0.495,0.6,-47.5
0.445,0.35,-47.5
0.495,0.6,-35.0
0.445,0.35,-35.0
0.495,0.6,-22.5
0.445,0.35,-22.5
0.495,0.6,-10.0
0.445,0.6,-60.0
0.495,0.85,-47.5
0.445,0.6,-47.5
0.495,0.85,-35.0
0.445,0.6,-35.0
0.495,0.85,-22.5
0.445,0.6,-22.5
0.495,0.85,-10.0
0.445,0.85,-60.0
0.495,1.1,-47.5
0.445,0.85,-47.5
0.495,1.1,-35.0
0.445,0.85,-35.0
0.495,1.1,-22.5
0.445,0.85,-22.5
0.495,1.1,-10.0
0.295,0.1,-60.0
0.315,0.2,-55.0
0.295,0.1,-55.0
0.315,0.2,-50.0
0.295,0.1,-50.0
0.315,0.2,-45.0
0.295,0.1,-45.0
0.315,0.2,-40.0
0.295,0.1,-40.0
0.315,0.2,-35.0
0.295,0.1,-35.0
0.315,0.2,-30.0
0.295,0.1,-30.0
0.315,0.2,-25.0
0.295,0.1,-25.0
0.315,0.2,-20.0
0.295,0.1,-20.0
0.315,0.2,-15.0
0.295,0.1,-15.0
0.315,0.2,-10.0
0.295,0.2,-60.0
0.315,0.30000000000000004,-55.0
0.295,0.2,-55.0
0.315,0.30000000000000004,-50.0
0.295,0.2,-50.0
0.315,0.30000000000000004,-45.0
0.295,0.2,-45.0
0.315,0.30000000000000004,-40.0
0.295,0.2,-40.0
0.315,0.30000000000000004,-35.0
0.295,0.2,-35.0
0.315,0.30000000000000004,-30.0
0.295,0.2,-30.0
0.315,0.30000000000000004,-25.0
0.295,0.2,-25.0
0.315,0.30000000000000004,-20.0
0.295,0.2,-20.0
0.315,0.30000000000000004,-15.0
0.295,0.2,-15.0
0.315,0.30000000000000004,-10.0
0.295,0.30000000000000004,-60.0
0.315,0.4,-55.0
0.295,0.30000000000000004,-55.0
0.315,0.4,-50.0
0.295,0.30000000000000004,-50.0
0.315,0.4,-45.0
0.295,0.30000000000000004,-45.0
0.315,0.4,-40.0
0.295,0.30000000000000004,-40.0
0.315,0.4,-35.0
0.295,0.30000000000000004,-35.0
0.315,0.4,-30.0
0.295,0.30000000000000004,-30.0
0.315,0.4,-25.0
0.295,0.30000000000000004,-25.0
0.315,0.4,-20.0
0.295,0.30000000000000004,-20.0
0.315,0.4,-15.0
0.295,0.30000000000000004,-15.0
0.315,0.4,-10.0
0.295,0.4,-60.0
0.315,0.5,-55.0
0.295,0.4,-55.0
0.315,0.5,-50.0
0.295,0.4,-50.0
0.315,0.5,-45.0
0.295,0.4,-45.0
0.315,0.5,-40.0
0.295,0.4,-40.0
0.315,0.5,-35.0
0.295,0.4,-35.0
0.315,0.5,-30.0
0.295,0.4,-30.0
0.315,0.5,-25.0
0.295,0.4,-25.0
0.315,0.5,-20.0
0.295,0.4,-20.0
